Total params: 551,771,568
Trainable params: 274,802,328
 2026-08-17 at 04:46:34 | Using device: cuda
 2026-08-17 at 06:48:47 | Epoch [2] | IndicVoices predictions metrics | T2A: R@1=0.003, R@5=0.013, R@10=0.023, MedR=263.000, MeanR=338.509, mAP=0.015 | A2T: R@1=0.005, R@5=0.017, R@10=0.030, MedR=282.000, MeanR=336.189, mAP=0.019
 2026-08-17 at 06:48:47 | Epoch [2] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.008, MedR=571.000, MeanR=651.613, mAP=0.007 | A2T: R@1=0.002, R@5=0.010, R@10=0.016, MedR=375.000, MeanR=529.335, mAP=0.011
 2026-08-17 at 06:48:47 | Epoch [2] | IndicVoices ema predictions metrics | T2A: R@1=0.003, R@5=0.013, R@10=0.023, MedR=273.000, MeanR=342.300, mAP=0.015 | A2T: R@1=0.003, R@5=0.014, R@10=0.020, MedR=280.000, MeanR=341.073, mAP=0.016
 2026-08-17 at 06:50:06 | Epoch [3] | Rasa projections metrics | T2A: R@1=0.003, R@5=0.007, R@10=0.014, MedR=306.000, MeanR=420.747, mAP=0.012 | A2T: R@1=0.002, R@5=0.010, R@10=0.021, MedR=303.000, MeanR=358.599, mAP=0.013
 2026-08-17 at 06:50:06 | Epoch [3] | Rasa predictions metrics | T2A: R@1=0.008, R@5=0.032, R@10=0.067, MedR=83.000, MeanR=112.961, mAP=0.036 | A2T: R@1=0.005, R@5=0.029, R@10=0.065, MedR=89.000, MeanR=112.360, mAP=0.033
 2026-08-17 at 06:50:06 | Epoch [3] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.014, MedR=327.000, MeanR=436.812, mAP=0.010 | A2T: R@1=0.003, R@5=0.010, R@10=0.020, MedR=328.000, MeanR=384.111, mAP=0.012
 2026-08-17 at 06:50:06 | Epoch [3] | Rasa ema predictions metrics | T2A: R@1=0.005, R@5=0.029, R@10=0.060, MedR=87.000, MeanR=117.670, mAP=0.033 | A2T: R@1=0.005, R@5=0.036, R@10=0.065, MedR=96.000, MeanR=119.112, mAP=0.033
 2026-08-17 at 06:50:06 | Epoch [3] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.005, MedR=481.000, MeanR=534.279, mAP=0.007 | A2T: R@1=0.002, R@5=0.010, R@10=0.017, MedR=336.000, MeanR=430.830, mAP=0.012
 2026-08-17 at 06:50:07 | Epoch [3] | IndicVoices predictions metrics | T2A: R@1=0.004, R@5=0.016, R@10=0.027, MedR=244.000, MeanR=314.206, mAP=0.019 | A2T: R@1=0.003, R@5=0.017, R@10=0.035, MedR=258.000, MeanR=306.161, mAP=0.018
 2026-08-17 at 06:50:07 | Epoch [3] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.004, R@10=0.009, MedR=465.000, MeanR=537.647, mAP=0.007 | A2T: R@1=0.002, R@5=0.009, R@10=0.017, MedR=338.000, MeanR=436.015, mAP=0.012
