Total params: 551,771,568
Trainable params: 274,802,328
 2026-07-16 at 22:59:18 | Using device: cuda
 2026-07-16 at 23:20:02 | Epoch [3] | IndicVoices predictions metrics | T2A: R@1=0.008, R@5=0.061, R@10=0.141, MedR=41.000, MeanR=56.048, mAP=0.061 | A2T: R@1=0.013, R@5=0.066, R@10=0.141, MedR=43.000, MeanR=58.069, mAP=0.062
 2026-07-16 at 23:20:02 | Epoch [3] | IndicVoices ema projections metrics | T2A: R@1=0.003, R@5=0.016, R@10=0.035, MedR=181.000, MeanR=169.495, mAP=0.020 | A2T: R@1=0.008, R@5=0.016, R@10=0.045, MedR=193.000, MeanR=183.766, mAP=0.024
 2026-07-16 at 23:20:02 | Epoch [3] | IndicVoices ema predictions metrics | T2A: R@1=0.005, R@5=0.059, R@10=0.141, MedR=40.000, MeanR=56.324, mAP=0.057 | A2T: R@1=0.019, R@5=0.053, R@10=0.130, MedR=44.000, MeanR=58.231, mAP=0.061
 2026-07-16 at 23:26:46 | Epoch [4] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.004, MedR=1234.000, MeanR=1250.448, mAP=0.004 | A2T: R@1=0.000, R@5=0.001, R@10=0.002, MedR=1468.000, MeanR=1427.647, mAP=0.002
 2026-07-16 at 23:26:47 | Epoch [4] | Rasa predictions metrics | T2A: R@1=0.005, R@5=0.041, R@10=0.077, MedR=92.000, MeanR=138.943, mAP=0.036 | A2T: R@1=0.006, R@5=0.030, R@10=0.055, MedR=107.000, MeanR=145.237, mAP=0.031
 2026-07-16 at 23:26:47 | Epoch [4] | Rasa ema projections metrics | T2A: R@1=0.000, R@5=0.002, R@10=0.005, MedR=1231.000, MeanR=1236.606, mAP=0.004 | A2T: R@1=0.000, R@5=0.001, R@10=0.001, MedR=1467.000, MeanR=1437.454, mAP=0.002
 2026-07-16 at 23:26:48 | Epoch [4] | Rasa ema predictions metrics | T2A: R@1=0.006, R@5=0.037, R@10=0.067, MedR=94.000, MeanR=139.723, mAP=0.036 | A2T: R@1=0.006, R@5=0.030, R@10=0.056, MedR=111.000, MeanR=149.264, mAP=0.030
 2026-07-16 at 23:26:48 | Epoch [4] | IndicVoices projections metrics | T2A: R@1=0.008, R@5=0.024, R@10=0.035, MedR=193.000, MeanR=184.000, mAP=0.025 | A2T: R@1=0.000, R@5=0.019, R@10=0.029, MedR=208.000, MeanR=205.745, mAP=0.016
 2026-07-16 at 23:26:48 | Epoch [4] | IndicVoices predictions metrics | T2A: R@1=0.019, R@5=0.096, R@10=0.173, MedR=34.000, MeanR=52.367, mAP=0.074 | A2T: R@1=0.013, R@5=0.072, R@10=0.173, MedR=41.000, MeanR=54.995, mAP=0.067
 2026-07-16 at 23:26:48 | Epoch [4] | IndicVoices ema projections metrics | T2A: R@1=0.003, R@5=0.024, R@10=0.040, MedR=194.000, MeanR=183.641, mAP=0.021 | A2T: R@1=0.000, R@5=0.013, R@10=0.029, MedR=214.000, MeanR=205.737, mAP=0.016
 2026-07-16 at 23:26:48 | Epoch [4] | IndicVoices ema predictions metrics | T2A: R@1=0.016, R@5=0.093, R@10=0.154, MedR=37.000, MeanR=53.061, mAP=0.071 | A2T: R@1=0.011, R@5=0.074, R@10=0.157, MedR=39.000, MeanR=55.431, mAP=0.065
 2026-07-16 at 23:32:52 | Epoch [5] | Rasa projections metrics | T2A: R@1=0.000, R@5=0.001, R@10=0.003, MedR=1561.000, MeanR=1451.539, mAP=0.002 | A2T: R@1=0.000, R@5=0.001, R@10=0.001, MedR=1684.000, MeanR=1573.205, mAP=0.002
 2026-07-16 at 23:32:53 | Epoch [5] | Rasa predictions metrics | T2A: R@1=0.010, R@5=0.044, R@10=0.082, MedR=85.000, MeanR=132.548, mAP=0.043 | A2T: R@1=0.008, R@5=0.035, R@10=0.077, MedR=87.000, MeanR=133.859, mAP=0.038
 2026-07-16 at 23:32:53 | Epoch [5] | Rasa ema projections metrics | T2A: R@1=0.000, R@5=0.001, R@10=0.003, MedR=1512.000, MeanR=1408.487, mAP=0.003 | A2T: R@1=0.000, R@5=0.001, R@10=0.002, MedR=1593.000, MeanR=1510.527, mAP=0.002
 2026-07-16 at 23:32:54 | Epoch [5] | Rasa ema predictions metrics | T2A: R@1=0.012, R@5=0.054, R@10=0.091, MedR=78.000, MeanR=128.089, mAP=0.046 | A2T: R@1=0.009, R@5=0.047, R@10=0.092, MedR=81.000, MeanR=128.079, mAP=0.043
 2026-07-16 at 23:32:54 | Epoch [5] | IndicVoices projections metrics | T2A: R@1=0.000, R@5=0.011, R@10=0.019, MedR=215.000, MeanR=198.886, mAP=0.015 | A2T: R@1=0.003, R@5=0.011, R@10=0.011, MedR=214.000, MeanR=202.436, mAP=0.015
 2026-07-16 at 23:32:54 | Epoch [5] | IndicVoices predictions metrics | T2A: R@1=0.016, R@5=0.056, R@10=0.136, MedR=43.000, MeanR=56.947, mAP=0.064 | A2T: R@1=0.024, R@5=0.088, R@10=0.162, MedR=42.000, MeanR=57.779, mAP=0.076
 2026-07-16 at 23:32:54 | Epoch [5] | IndicVoices ema projections metrics | T2A: R@1=0.003, R@5=0.013, R@10=0.019, MedR=206.000, MeanR=195.697, mAP=0.017 | A2T: R@1=0.000, R@5=0.011, R@10=0.024, MedR=206.000, MeanR=201.093, mAP=0.013
 2026-07-16 at 23:32:54 | Epoch [5] | IndicVoices ema predictions metrics | T2A: R@1=0.019, R@5=0.077, R@10=0.154, MedR=41.000, MeanR=55.819, mAP=0.071 | A2T: R@1=0.016, R@5=0.096, R@10=0.160, MedR=39.000, MeanR=57.261, mAP=0.075
 2026-07-16 at 23:39:38 | Epoch [6] | Rasa projections metrics | T2A: R@1=0.000, R@5=0.002, R@10=0.004, MedR=1465.000, MeanR=1386.762, mAP=0.003 | A2T: R@1=0.001, R@5=0.002, R@10=0.006, MedR=1422.000, MeanR=1440.597, mAP=0.004
 2026-07-16 at 23:39:38 | Epoch [6] | Rasa predictions metrics | T2A: R@1=0.014, R@5=0.072, R@10=0.128, MedR=70.000, MeanR=121.619, mAP=0.056 | A2T: R@1=0.012, R@5=0.062, R@10=0.120, MedR=71.000, MeanR=121.065, mAP=0.053
 2026-07-16 at 23:39:39 | Epoch [6] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.002, R@10=0.003, MedR=1482.000, MeanR=1387.253, mAP=0.003 | A2T: R@1=0.000, R@5=0.002, R@10=0.003, MedR=1433.000, MeanR=1439.139, mAP=0.003
 2026-07-16 at 23:39:40 | Epoch [6] | Rasa ema predictions metrics | T2A: R@1=0.021, R@5=0.072, R@10=0.135, MedR=61.000, MeanR=115.452, mAP=0.062 | A2T: R@1=0.015, R@5=0.071, R@10=0.127, MedR=65.000, MeanR=116.512, mAP=0.058
 2026-07-16 at 23:39:40 | Epoch [6] | IndicVoices projections metrics | T2A: R@1=0.000, R@5=0.005, R@10=0.021, MedR=211.000, MeanR=200.686, mAP=0.012 | A2T: R@1=0.005, R@5=0.013, R@10=0.019, MedR=200.000, MeanR=203.580, mAP=0.017
 2026-07-16 at 23:39:40 | Epoch [6] | IndicVoices predictions metrics | T2A: R@1=0.016, R@5=0.066, R@10=0.122, MedR=42.000, MeanR=58.606, mAP=0.063 | A2T: R@1=0.016, R@5=0.085, R@10=0.154, MedR=41.000, MeanR=56.604, mAP=0.068
 2026-07-16 at 23:39:40 | Epoch [6] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.008, R@10=0.024, MedR=208.000, MeanR=201.410, mAP=0.012 | A2T: R@1=0.005, R@5=0.011, R@10=0.019, MedR=200.000, MeanR=205.059, mAP=0.017
 2026-07-16 at 23:39:40 | Epoch [6] | IndicVoices ema predictions metrics | T2A: R@1=0.016, R@5=0.069, R@10=0.136, MedR=40.000, MeanR=56.585, mAP=0.065 | A2T: R@1=0.016, R@5=0.080, R@10=0.152, MedR=39.000, MeanR=54.926, mAP=0.070
 2026-07-16 at 23:46:24 | Epoch [7] | Rasa projections metrics | T2A: R@1=0.000, R@5=0.000, R@10=0.001, MedR=1715.000, MeanR=1581.415, mAP=0.002 | A2T: R@1=0.000, R@5=0.002, R@10=0.005, MedR=1629.000, MeanR=1569.036, mAP=0.003
 2026-07-16 at 23:46:25 | Epoch [7] | Rasa predictions metrics | T2A: R@1=0.012, R@5=0.063, R@10=0.120, MedR=65.000, MeanR=106.643, mAP=0.054 | A2T: R@1=0.012, R@5=0.057, R@10=0.114, MedR=64.000, MeanR=107.047, mAP=0.053
 2026-07-16 at 23:46:25 | Epoch [7] | Rasa ema projections metrics | T2A: R@1=0.000, R@5=0.001, R@10=0.002, MedR=1707.000, MeanR=1569.253, mAP=0.002 | A2T: R@1=0.001, R@5=0.002, R@10=0.005, MedR=1583.000, MeanR=1567.147, mAP=0.003
 2026-07-16 at 23:46:26 | Epoch [7] | Rasa ema predictions metrics | T2A: R@1=0.023, R@5=0.102, R@10=0.178, MedR=44.000, MeanR=90.453, mAP=0.078 | A2T: R@1=0.027, R@5=0.101, R@10=0.173, MedR=45.000, MeanR=89.914, mAP=0.081
 2026-07-16 at 23:46:26 | Epoch [7] | IndicVoices projections metrics | T2A: R@1=0.003, R@5=0.005, R@10=0.011, MedR=234.000, MeanR=220.019, mAP=0.011 | A2T: R@1=0.003, R@5=0.008, R@10=0.008, MedR=217.000, MeanR=220.867, mAP=0.011
 2026-07-16 at 23:46:26 | Epoch [7] | IndicVoices predictions metrics | T2A: R@1=0.013, R@5=0.069, R@10=0.168, MedR=46.000, MeanR=60.670, mAP=0.067 | A2T: R@1=0.016, R@5=0.090, R@10=0.168, MedR=46.000, MeanR=61.965, mAP=0.067
 2026-07-16 at 23:46:26 | Epoch [7] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.000, R@10=0.003, MedR=232.000, MeanR=218.689, mAP=0.008 | A2T: R@1=0.003, R@5=0.005, R@10=0.008, MedR=222.000, MeanR=220.572, mAP=0.010
 2026-07-16 at 23:46:26 | Epoch [7] | IndicVoices ema predictions metrics | T2A: R@1=0.027, R@5=0.093, R@10=0.184, MedR=41.000, MeanR=56.191, mAP=0.080 | A2T: R@1=0.024, R@5=0.101, R@10=0.191, MedR=41.000, MeanR=57.468, mAP=0.081
 2026-07-16 at 23:52:31 | Epoch [8] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.002, R@10=0.003, MedR=1788.000, MeanR=1628.167, mAP=0.003 | A2T: R@1=0.001, R@5=0.003, R@10=0.005, MedR=1751.000, MeanR=1649.522, mAP=0.003
